"Gene.Symbol"	"SW_DPGP_cluster"	"Tg_DPGP_cluster"
"Celsr1"	1	0
"Kctd12b"	1	5
"Lcp2"	1	4
"Ngfr"	1	0
"Pax4"	1	0
"Per3"	1	0
"Ptpn14"	1	0
"Ret"	1	5
"Rnf112"	1	5
"Slc40a1"	1	0
"Tnfrsf22"	1	0
"Acvr1c"	2	4
"Arc"	2	0
"Atf3"	2	1
"Btg2"	2	0
"Cdh6"	2	4
"Coch"	2	4
"Diras2"	2	4
"Dusp1"	2	0
"Egr1"	2	0
"Egr2"	2	0
"Egr4"	2	0
"Erf"	2	0
"Errfi1"	2	0
"Fam46a"	2	0
"Fos"	2	3
"Fosb"	2	3
"Fosl2"	2	4
"Gad2"	2	4
"Gem"	2	1
"Ier2"	2	3
"Ier3"	2	0
"Junb"	2	4
"Klf4"	2	1
"Nfil3"	2	1
"Nnat"	2	4
"Npas4"	2	0
"Nr4a1"	2	3
"Nr4a2"	2	4
"Nr4a3"	2	4
"Ovol2"	2	4
"Per1"	2	0
"Pik3cg"	2	4
"Rgs2"	2	0
"Scgn"	2	4
"Sik1"	2	0
"Slc2a2"	2	4
"Sv2b"	2	4
"Trib1"	2	0
"A630095E13Rik"	3	1
"Aars"	3	1
"Adm2"	3	1
"Aff2"	3	0
"Aldh1l2"	3	1
"Aldh18a1"	3	1
"Amigo3"	3	0
"Angptl6"	3	1
"Asns"	3	1
"Bhlha15"	3	1
"Calr"	3	1
"Cars"	3	1
"Cckbr"	3	6
"Creld2"	3	0
"Cry1"	3	0
"Cyb5r1"	3	1
"Derl3"	3	1
"Dnajb9"	3	1
"Dnajb11"	3	0
"Dnajc3"	3	0
"Eif4ebp1"	3	1
"Eprs"	3	1
"Etv5"	3	1
"Gm3636"	3	0
"Gmppb"	3	0
"Gnl3"	3	1
"Gpt2"	3	1
"Hmox1"	3	1
"Hsp90b1"	3	0
"Hspa5"	3	1
"Hspa9"	3	1
"Hyou1"	3	2
"Iars"	3	1
"Isg20"	3	1
"Kcnh1"	3	0
"Kcnip1"	3	0
"Kdelr3"	3	0
"LOC106740"	3	1
"Lrrfip2"	3	1
"Manf"	3	1
"Mctp2"	3	0
"Mfap3l"	3	0
"Mthfd2"	3	1
"Nars"	3	1
"Nupr1"	3	1
"Pck2"	3	6
"Pdia4"	3	0
"Pdia6"	3	0
"Pgm3"	3	0
"Phf10"	3	1
"Phgdh"	3	1
"Ppp1r15a"	3	1
"Psat1"	3	1
"Psph"	3	1
"Rbm15b"	3	0
"Sars"	3	1
"Sdf2l1"	3	1
"Sec24d"	3	1
"Sel1l"	3	1
"Sgms2"	3	0
"Shmt2"	3	1
"Slc1a4"	3	1
"Slc7a1"	3	1
"Slc7a11"	3	1
"Slc24a3"	3	2
"Smoc1"	3	1
"Sqstm1"	3	1
"Srm"	3	1
"Syvn1"	3	0
"Tars"	3	1
"Trib3"	3	1
"Vgf"	3	0
"Wnt5a"	3	1
"Xpot"	3	1
"Chchd10"	4	2
"Cox6a2"	4	1
"Csn3"	4	2
"Dhx34"	4	0
"Fam114a1"	4	0
"Fam129a"	4	1
"Fkbp11"	4	1
"Gc"	4	2
"Lgi2"	4	1
"Pcyox1l"	4	0
"Pycr1"	4	1
"Rcn3"	4	4
"Serpina3n"	4	0
"Slc7a3"	4	1
"Slc17a9"	4	0
"Atf4"	5	1
"C2cd4a"	5	4
"Chac1"	5	1
"Ddit3"	5	1
"Dennd2c"	5	0
"Dos"	5	0
"Dusp4"	5	0
"Dusp6"	5	3
"Dusp14"	5	0
"Fam84b"	5	1
"Hdac5"	5	0
"Herpud1"	5	1
"Homer1"	5	0
"Ifrd1"	5	1
"Kcnf1"	5	0
"Maff"	5	6
"Nab2"	5	0
"Nedd9"	5	6
"Nfkbiz"	5	1
"Ppargc1a"	5	0
"Rab30"	5	0
"Relb"	5	1
"Rgs4"	5	0
"Sesn2"	5	1
"Slc3a2"	5	1
"Sp8"	5	0
"Spry2"	5	1
"Spry4"	5	3
"Zfand2a"	5	1
"Zfp184"	5	0
"1110038B12Rik"	0	1
"1500012F01Rik"	0	1
"1810008I18Rik"	0	1
"1810032O08Rik"	0	1
"2410006H16Rik"	0	1
"3110043O21Rik"	0	1
"4632415L05Rik"	0	1
"5430416N02Rik"	0	1
"6330416G13Rik"	0	1
"Aatf"	0	1
"Abcb6"	0	1
"Abcc10"	0	1
"Acot2"	0	1
"Acot11"	0	1
"Acsl4"	0	1
"Adgrv1"	0	1
"Aff1"	0	1
"Agpat4"	0	1
"Ahi1"	0	1
"Akna"	0	1
"Alg12"	0	1
"Ankrd10"	0	1
"Ankrd11"	0	1
"Anxa10"	0	1
"Arhgef2"	0	1
"Arid5a"	0	1
"Arl14ep"	0	1
"Arpc5l"	0	1
"Arrdc4"	0	1
"Ascc2"	0	1
"Atf5"	0	1
"Atf6"	0	1
"Atg14"	0	1
"BC003331"	0	1
"BC065397"	0	1
"Bbc3"	0	1
"Bcat1"	0	1
"Bet1"	0	1
"Brpf3"	0	1
"Cald1"	0	1
"Ccdc47"	0	1
"Ccdc137"	0	1
"Ccdc186"	0	1
"Cd74"	0	1
"Cd274"	0	1
"Cdkn1a"	0	1
"Cebpb"	0	1
"Cebpg"	0	1
"Chka"	0	1
"Chl1"	0	1
"Chrna7"	0	1
"Clic4"	0	1
"Clk4"	0	1
"Cmya5"	0	1
"Cnppd1"	0	1
"Cp"	0	1
"Cpox"	0	1
"Crcp"	0	1
"Creb5"	0	1
"Crls1"	0	1
"Cth"	0	1
"Cxcl12"	0	1
"Cyp51"	0	1
"D19Bwg1357e"	0	1
"Ddr2"	0	1
"Deb1"	0	1
"Dennd2d"	0	1
"Dennd4a"	0	1
"Derl1"	0	1
"Dhrs7"	0	1
"Dkk2"	0	1
"Dlgap1"	0	1
"Dmrta1"	0	1
"Dnaja3"	0	1
"Dock5"	0	1
"Drp2"	0	1
"Dus4l"	0	1
"Dusp8"	0	1
"Dusp16"	0	1
"Eif1"	0	1
"Eif1a"	0	1
"Eif2ak3"	0	1
"Eif2s2"	0	1
"Elmsan1"	0	1
"Epha5"	0	1
"Erlin1"	0	1
"Ets2"	0	1
"Extl1"	0	1
"Fam101a"	0	1
"Fam134c"	0	1
"Fam135b"	0	1
"Fam171b"	0	1
"Fdps"	0	1
"Fez2"	0	1
"Fmn1"	0	1
"Fstl5"	0	1
"Fyn"	0	1
"Fzd4"	0	1
"Gabarapl1"	0	1
"Gadd45b"	0	1
"Gar1"	0	1
"Gars"	0	1
"Gas5"	0	1
"Gclc"	0	1
"Ghitm"	0	1
"Glce"	0	1
"Gm11974"	0	1
"Gm15663"	0	1
"Gnpnat1"	0	1
"Got1"	0	1
"Gpatch4"	0	1
"Gpr85"	0	1
"Gpr137b-ps"	0	1
"Gramd1b"	0	1
"Grwd1"	0	1
"Gtpbp2"	0	1
"H13"	0	1
"Hax1"	0	1
"Hbp1"	0	1
"Hbs1l"	0	1
"Heatr1"	0	1
"Hfe"	0	1
"Hgh1"	0	1
"Hhipl1"	0	1
"Hid1"	0	1
"Hinfp"	0	1
"Hrk"	0	1
"Hsd17b7"	0	1
"Hspa13"	0	1
"Ifrd2"	0	1
"Ift172"	0	1
"Inpp4b"	0	1
"Jdp2"	0	1
"Jun"	0	1
"Kcnt2"	0	1
"Kctd15"	0	1
"Kdm4a"	0	1
"Klf6"	0	1
"Klf11"	0	1
"Krtcap2"	0	1
"L1cam"	0	1
"Lars"	0	1
"Lcn2"	0	1
"Leprotl1"	0	1
"Lhfpl2"	0	1
"Lmo4"	0	1
"Lonp1"	0	1
"Lonrf1"	0	1
"Lrrc59"	0	1
"Lss"	0	1
"Mamdc2"	0	1
"Mcfd2"	0	1
"Mdfic"	0	1
"Mdm2"	0	1
"Mdn1"	0	1
"Mettl1"	0	1
"Mettl2"	0	1
"Mex3c"	0	1
"Mknk1"	0	1
"Mospd1"	0	1
"Mrps18b"	0	1
"Msmo1"	0	1
"Mthfr"	0	1
"Mtm1"	0	1
"Mtss1l"	0	1
"Mybbp1a"	0	1
"Myc"	0	1
"N4bp2l1"	0	1
"Naaa"	0	1
"Napb"	0	1
"Nbas"	0	1
"Ndor1"	0	1
"Necap2"	0	1
"Nfe2l1"	0	1
"Nfu1"	0	1
"Nme2"	0	1
"Nme6"	0	1
"Nmi"	0	1
"Noc3l"	0	1
"Nol8"	0	1
"Nop14"	0	1
"Nr1d1"	0	1
"Nrip1"	0	1
"Nucb2"	0	1
"Olfr1259"	0	1
"Otub2"	0	1
"Pabpc4"	0	1
"Paqr3"	0	1
"Pard3b"	0	1
"Pde5a"	0	1
"Pdzd7"	0	1
"Peo1"	0	1
"Plcxd2"	0	1
"Plek"	0	1
"Plk2"	0	1
"Ppapdc1b"	0	1
"Ppp1r15b"	0	1
"Ppp1r16b"	0	1
"Pprc1"	0	1
"Prdm15"	0	1
"Prkcd"	0	1
"Prrg4"	0	1
"Ptprg"	0	1
"Ptrh2"	0	1
"Pus1"	0	1
"Pvr"	0	1
"Pwp2"	0	1
"Qtrtd1"	0	1
"Rab39b"	0	1
"Rasgef1b"	0	1
"Rbm19"	0	1
"Rcc2"	0	1
"Rcl1"	0	1
"Recql4"	0	1
"Retsat"	0	1
"Rexo2"	0	1
"Rgs7bp"	0	1
"Rhbdd1"	0	1
"Rnd1"	0	1
"Rpl12"	0	1
"Rrbp1"	0	1
"Rrp12"	0	1
"Samd4"	0	1
"Sat1"	0	1
"Sec61a1"	0	1
"Serp1"	0	1
"Shc4"	0	1
"Slc1a5"	0	1
"Slc4a10"	0	1
"Slc6a9"	0	1
"Slc7a5"	0	1
"Slc9a9"	0	1
"Slc16a1"	0	1
"Slc30a4"	0	1
"Slc35b1"	0	1
"Slc38a7"	0	1
"Smyd5"	0	1
"Snhg1"	0	1
"Snhg6"	0	1
"Snhg12"	0	1
"Snhg17"	0	1
"Snx33"	0	1
"Sox11"	0	1
"Spaca6"	0	1
"Srprb"	0	1
"Ssr3"	0	1
"Stard5"	0	1
"Stbd1"	0	1
"Stk32a"	0	1
"Stmn4"	0	1
"Surf6"	0	1
"Syne4"	0	1
"Syt4"	0	1
"Taf1d"	0	1
"Taf4b"	0	1
"Taf15"	0	1
"Tapbpl"	0	1
"Tcea1"	0	1
"Tgif1"	0	1
"Them4"	0	1
"Thyn1"	0	1
"Tigd2"	0	1
"Tlr4"	0	1
"Tma16"	0	1
"Tmem5"	0	1
"Tmem43"	0	1
"Tmem97"	0	1
"Tmem144"	0	1
"Tnfrsf12a"	0	1
"Trabd"	0	1
"Trim46"	0	1
"Trmt61a"	0	1
"Trp53"	0	1
"Trp53inp1"	0	1
"Tsc22d3"	0	1
"Tspyl2"	0	1
"Txnip"	0	1
"Uba5"	0	1
"Ube2g2"	0	1
"Unc5b"	0	1
"Unkl"	0	1
"Uqcrq"	0	1
"Usp36"	0	1
"Utp14a"	0	1
"Utp20"	0	1
"Vimp"	0	1
"Vipr2"	0	1
"Vldlr"	0	1
"Wars"	0	1
"Wdr45"	0	1
"Wdr74"	0	1
"Wdr81"	0	1
"Wfs1"	0	1
"Wisp1"	0	1
"Yars"	0	1
"Ybx3"	0	1
"Ypel5"	0	1
"Yrdc"	0	1
"Zbtb10"	0	1
"Zbtb21"	0	1
"Zc3h8"	0	1
"Zfp869"	0	1
"Zfp874a"	0	1
"Abcc4"	0	2
"Arhgef5"	0	2
"Bfar"	0	2
"Bpifc"	0	2
"Cadm3"	0	2
"Cmss1"	0	2
"Cyp7b1"	0	2
"Eif3c"	0	2
"Emp2"	0	2
"Fads3"	0	2
"Fam134b"	0	2
"Gap43"	0	2
"Gpnmb"	0	2
"Hopx"	0	2
"Kif21b"	0	2
"Lbh"	0	2
"Lonrf2"	0	2
"Lrrc28"	0	2
"Mafk"	0	2
"Mina"	0	2
"Msn"	0	2
"Pla2g12a"	0	2
"Plxnc1"	0	2
"Prkcsh"	0	2
"Prkg1"	0	2
"Ptprm"	0	2
"Rpusd4"	0	2
"Scd3"	0	2
"Snai2"	0	2
"Sprr1a"	0	2
"Suclg2"	0	2
"Tmed3"	0	2
"Tusc1"	0	2
"3930402G23Rik"	0	3
"4930523C07Rik"	0	3
"Abcc3"	0	3
"Amdhd1"	0	3
"Arhgef26"	0	3
"Cachd1"	0	3
"Camk2a"	0	3
"Cdh23"	0	3
"Chrna5"	0	3
"Col1a1"	0	3
"Ddit4l"	0	3
"Dusp15"	0	3
"Fgfr2"	0	3
"Gm4791"	0	3
"Il31ra"	0	3
"Kcna6"	0	3
"Kctd8"	0	3
"Klhdc7a"	0	3
"Meox1"	0	3
"Muc4"	0	3
"Myt1l"	0	3
"Nkain1"	0	3
"Npas2"	0	3
"Odf3l2"	0	3
"Pcdh15"	0	3
"Pde4b"	0	3
"Pde7b"	0	3
"Phactr1"	0	3
"Rorb"	0	3
"Slc1a2"	0	3
"Slc30a3"	0	3
"Synpo2"	0	3
"Tnfsf10"	0	3
"Trf"	0	3
"Trim60"	0	3
"Usp29"	0	3
"Zfp185"	0	3
"1500009L16Rik"	0	4
"1700001L05Rik"	0	4
"1810011O10Rik"	0	4
"2200002J24Rik"	0	4
"3632451O06Rik"	0	4
"4930550C14Rik"	0	4
"A330074K22Rik"	0	4
"Aard"	0	4
"Aatk"	0	4
"Abat"	0	4
"Abcd2"	0	4
"Acly"	0	4
"Adamts9"	0	4
"Adamts17"	0	4
"Adcy5"	0	4
"Adtrp"	0	4
"Ak1"	0	4
"Aldoc"	0	4
"Angptl1"	0	4
"Apof"	0	4
"Apold1"	0	4
"Aqp11"	0	4
"Arhgap18"	0	4
"Arhgap24"	0	4
"Arhgef9"	0	4
"Armc10"	0	4
"Atp1a3"	0	4
"Atp2b4"	0	4
"Atp4a"	0	4
"Atp7b"	0	4
"Atp8b1"	0	4
"B3galt2"	0	4
"B3galt5"	0	4
"B3gat1"	0	4
"BC030870"	0	4
"Basp1"	0	4
"Bmp7"	0	4
"Bnip3"	0	4
"Btbd17"	0	4
"C1qa"	0	4
"Cadm1"	0	4
"Camk2n1"	0	4
"Camk4"	0	4
"Car5b"	0	4
"Car8"	0	4
"Cbln1"	0	4
"Ccrn4l"	0	4
"Cdca3"	0	4
"Cdh22"	0	4
"Cdk15"	0	4
"Cdkl1"	0	4
"Cep55"	0	4
"Chrna4"	0	4
"Cilp"	0	4
"Clec1a"	0	4
"Cnih2"	0	4
"Cnr1"	0	4
"Cntnap5b"	0	4
"Col6a3"	0	4
"Colgalt2"	0	4
"Crtac1"	0	4
"Cryba2"	0	4
"Cyp2s1"	0	4
"Dbn1"	0	4
"Ddc"	0	4
"Ddx31"	0	4
"Depdc1b"	0	4
"Dgkb"	0	4
"Dio1"	0	4
"Dio2"	0	4
"Dlgap2"	0	4
"Dlgap3"	0	4
"Dlk1"	0	4
"Dnajc24"	0	4
"Dpp10"	0	4
"Ece1"	0	4
"Ecel1"	0	4
"Efna2"	0	4
"Eno1b"	0	4
"Erich3"	0	4
"Ero1lb"	0	4
"Esr1"	0	4
"Fam83d"	0	4
"Fam151a"	0	4
"Fam162a"	0	4
"Fbln1"	0	4
"Fbp1"	0	4
"Ffar1"	0	4
"Ffar3"	0	4
"Fgf1"	0	4
"Figf"	0	4
"Fkbp9"	0	4
"Fndc1"	0	4
"Folr1"	0	4
"Foxn1"	0	4
"G6pc2"	0	4
"Galnt18"	0	4
"Galr1"	0	4
"Gatm"	0	4
"Gatsl2"	0	4
"Gcg"	0	4
"Gfra3"	0	4
"Gmpr"	0	4
"Gng12"	0	4
"Gpd2"	0	4
"Gpi1"	0	4
"Gpr155"	0	4
"Gria3"	0	4
"Grid2ip"	0	4
"H2-T23"	0	4
"Hadh"	0	4
"Heg1"	0	4
"Hepacam2"	0	4
"Hgfac"	0	4
"Hip1"	0	4
"Hist1h1b"	0	4
"Hnf4a"	0	4
"Hpca"	0	4
"Hr"	0	4
"Hs3st2"	0	4
"Hspa12a"	0	4
"Htr1d"	0	4
"Id1"	0	4
"Igf2"	0	4
"Igf2os"	0	4
"Igfbpl1"	0	4
"Igsf8"	0	4
"Ins1"	0	4
"Ins2"	0	4
"Iqgap2"	0	4
"Kbtbd11"	0	4
"Kcnab2"	0	4
"Kcnk9"	0	4
"Kcnmb2"	0	4
"Ldha"	0	4
"Lgi1"	0	4
"Lingo1"	0	4
"Lipc"	0	4
"Loxl2"	0	4
"Lppr3"	0	4
"Lrrc10b"	0	4
"Lrrc55"	0	4
"Ly6e"	0	4
"Lyve1"	0	4
"Mafa"	0	4
"Maob"	0	4
"Map3k19"	0	4
"Megf11"	0	4
"Mfng"	0	4
"Mgarp"	0	4
"Micalcl"	0	4
"Mirg"	0	4
"Mnx1"	0	4
"Mpp2"	0	4
"Mrc2"	0	4
"Myo1e"	0	4
"Myo10"	0	4
"Myo16"	0	4
"Ncald"	0	4
"Ndrg2"	0	4
"Neurl1b"	0	4
"Nipal1"	0	4
"Nlgn1"	0	4
"Nptx1"	0	4
"Nptx2"	0	4
"Npy"	0	4
"Ntrk3"	0	4
"Nyap2"	0	4
"Oas1c"	0	4
"Ociad2"	0	4
"Oxtr"	0	4
"P2ry1"	0	4
"Pax6"	0	4
"Pcdhgc5"	0	4
"Pcp4"	0	4
"Pcsk2"	0	4
"Pcsk2os1"	0	4
"Pde1c"	0	4
"Pde4d"	0	4
"Pde6b"	0	4
"Pdk1"	0	4
"Pdx1"	0	4
"Pdyn"	0	4
"Pdzd2"	0	4
"Pfkfb3"	0	4
"Pgam1"	0	4
"Pgk1"	0	4
"Pgm2"	0	4
"Pim2"	0	4
"Pkm"	0	4
"Plk5"	0	4
"Podxl2"	0	4
"Ppp1r1a"	0	4
"Prlr"	0	4
"Prokr2"	0	4
"Prr11"	0	4
"Prss53"	0	4
"Ptgr1"	0	4
"Ptprr"	0	4
"Pygl"	0	4
"Rab3b"	0	4
"Rab37"	0	4
"Rassf5"	0	4
"Rbm20"	0	4
"Resp18"	0	4
"Rgs3"	0	4
"Rhobtb1"	0	4
"Rian"	0	4
"Ripply3"	0	4
"Rnf157"	0	4
"Rph3al"	0	4
"Rtkn2"	0	4
"Scml4"	0	4
"Scnn1b"	0	4
"Sdc3"	0	4
"Sema6b"	0	4
"Sepn1"	0	4
"Sez6"	0	4
"Sgpp2"	0	4
"Sh3pxd2b"	0	4
"Shank2"	0	4
"Slc7a2"	0	4
"Slc8a2"	0	4
"Slc14a2"	0	4
"Slc38a5"	0	4
"Slc39a8"	0	4
"Slc43a2"	0	4
"Slc44a3"	0	4
"Slitrk6"	0	4
"Smtnl2"	0	4
"Sncb"	0	4
"Snx31"	0	4
"Sorbs2"	0	4
"Sorcs2"	0	4
"Spc25"	0	4
"Spry1"	0	4
"St3gal1"	0	4
"St6gal1"	0	4
"St8sia1"	0	4
"Stc1"	0	4
"Stk35"	0	4
"Stmn2"	0	4
"Svop"	0	4
"Svopl"	0	4
"Synpr"	0	4
"Syt13"	0	4
"Sytl4"	0	4
"T2"	0	4
"Tagln3"	0	4
"Tgfb2"	0	4
"Th"	0	4
"Timp2"	0	4
"Tmem27"	0	4
"Tmem108"	0	4
"Tmem154"	0	4
"Tmem255a"	0	4
"Tnfrsf9"	0	4
"Tppp3"	0	4
"Trpm5"	0	4
"Tspan7"	0	4
"Ttc28"	0	4
"Ttr"	0	4
"Tuba1b"	0	4
"Ucn3"	0	4
"Ucp2"	0	4
"Ugt1a9"	0	4
"Unc5c"	0	4
"Unc13c"	0	4
"Upk3a"	0	4
"Upp1"	0	4
"Vat1l"	0	4
"Vsnl1"	0	4
"Vstm2l"	0	4
"Zim1"	0	4
"A330040F15Rik"	0	5
"Actg1"	0	5
"Ak4"	0	5
"Arsg"	0	5
"Cldn1"	0	5
"Cplx2"	0	5
"Fabp5"	0	5
"Glp1r"	0	5
"Gstm1"	0	5
"Ifitm2"	0	5
"Lgals3bp"	0	5
"Lrrn2"	0	5
"Mir93"	0	5
"Ndufa4"	0	5
"Pcdhb4"	0	5
"Pcdhb5"	0	5
"Pcdhb6"	0	5
"Pcdhb10"	0	5
"Pcdhb11"	0	5
"Pdk2"	0	5
"Pla2g2d"	0	5
"Rfx6"	0	5
"S100a11"	0	5
"Slc16a3"	0	5
"Snord49a"	0	5
"Syt2"	0	5
"Tfrc"	0	5
"Tmsb4x"	0	5
"Tuba1a"	0	5
"Tubb4a"	0	5
"Arntl"	0	6
"Cdh10"	0	6
"Chd5"	0	6
"Ciart"	0	6
"Gm16973"	0	6
"H2-Q5"	0	6
"Itprip"	0	6
"Lmo1"	0	6
"Mars"	0	6
"Nfkb2"	0	6
"Pcsk9"	0	6
"Rassf1"	0	6
"Rundc3b"	0	6
"Stk40"	0	6
"Tbc1d31"	0	6
"Tcp11l2"	0	6
"Trim66"	0	6
"Trmt61b"	0	6
