"genes","logFC.time1h.treatSW","logFC.time2h.treatSW","logFC.time6h.treatSW","logFC.time24h.treatSW","logCPM","F","PValue","FDR"
"Btg2",1.70227512394579,0.315444846866208,-0.327853683042835,-0.0817322152582528,6.41769379065312,44.1279683794457,2.39731407188441e-12,3.31039162095273e-09
"Cyb5r1",-0.0531860572905725,0.234335871655684,1.00298013713152,1.09347709583742,5.49544428244892,18.0746975198906,9.62506523331846e-08,1.57614521613062e-05
"Rgs2",0.818386234228049,1.15681370805016,0.70632504144655,-0.230905269730171,5.08942909123463,15.824910220911,3.79181926974748e-07,4.9843077380497e-05
"Fam129a",0.219883833389715,-0.098274299028817,1.5920907487956,0.890644495585398,4.44950068443547,18.4403552328867,7.79623398947248e-08,1.34505919088015e-05
"Sec16b",-0.0904463336263458,0.164679789482609,0.713212533313387,1.2705349258747,3.66158545456258,5.85805004528159,0.00125470628262621,0.0321547606090003
"Rgs4",0.193514983243586,1.16712615226748,0.738781743870858,-0.411743485546922,7.4708462561402,26.8683965175574,1.14102212860802e-09,3.80137423984357e-07
"Ddr2",0.12925325959273,-0.172317020904662,1.41127468193097,0.895651113596119,2.88443708956567,5.60835931920202,0.00163845732782948,0.0401266298423942
"Eprs",0.0745571569088492,0.695333954232284,1.3029325747459,0.310116213838725,8.41956982997176,38.6854360903244,1.30277192482049e-11,1.19873628110982e-08
"Ptpn14",0.313820523261444,0.274919520593853,-1.05243757006684,-0.4261223925234,3.55931361619916,10.676130247764,1.50254744308018e-05,0.000980869062251292
"Atf3",2.784974077594,2.5017185705922,0.892743321943637,-0.200804213959936,3.95236666846764,34.986463601708,4.67572169833361e-11,2.91448291538388e-08
"Kcnh1",-0.00893280792838393,0.253204965488446,1.29154123348895,0.364398179764297,5.80469015518591,44.0741286217102,2.43612493537182e-12,3.31039162095273e-09
"Egr2",3.60440652400685,2.72969270804757,-0.0888874969029551,-1.34694940396621,1.90719671976416,11.1130395189659,8.65060867661369e-06,0.000612291983363393
"Derl3",0.218603069435883,1.58125219754031,2.76923990536214,1.49441893458665,4.65440111392952,23.6090414367294,5.12713349132227e-09,1.37599445073362e-06
"Chchd10",-0.252247897216103,0.173994119496383,0.503204458082218,1.28258158559902,5.99596542420664,22.4408697543482,9.09217966699624e-09,2.22390111019454e-06
"Dos",0.681383769725758,1.0131692065429,0.514039392207825,0.0429061375054389,6.45449016336467,11.8312353553958,6.077179643372e-06,0.000462994978712895
"Aldh1l2",-0.196946502943911,0.619814679195867,1.87010531103618,1.6002396173176,6.90561100735705,64.0076135184971,1.66891590006021e-14,1.61242309684317e-10
"Cry1",0.114740884733511,0.193761964376174,1.11706571544233,-0.0590139699503041,5.05611748703296,16.74794361685,2.12930058038305e-07,3.1649596242109e-05
"Hsp90b1",-0.0097377688276693,0.533362015843738,1.25813336157208,0.808944795450856,11.0367814261813,32.6039027493923,1.10797958691784e-10,6.11699701657528e-08
"Dusp6",0.59538794443302,1.26468432368828,0.789989575393084,-0.112945092516625,4.97879556318139,14.3169549787982,1.02156555809701e-06,0.000105559953364217
"Xpot",-0.0420586578629664,0.417874669064003,1.28671623229078,0.720857010027935,7.22284808818566,35.8049143144123,3.46154889494081e-11,2.37958783026078e-08
"Mettl1",-0.0807286968304134,0.203227245693473,1.00150147371182,0.719621164309365,4.08763011173192,7.84442859877499,0.000174630904853519,0.00713669974450384
"Ddit3",1.32105764846133,2.68473243905104,2.33958369015062,0.436440132283379,4.84517593604974,23.1698775450718,6.34494861286585e-09,1.63471256061876e-06
"Shmt2",-0.0366932004073559,0.779077843421654,1.79895237158874,0.498674512045352,6.36039007924637,43.892789114429,2.56978079564721e-12,3.31039162095273e-09
"Nab2",0.265492913067493,1.01145023950088,-0.172540305853388,-0.549906070016283,4.81571488537743,14.7590613788411,7.59077955693457e-07,8.57758089933606e-05
"Slc1a4",-0.046131196772534,0.866203327546064,1.20832426827928,0.377997339026514,5.21369312569324,26.3190021150285,1.45590584157722e-09,4.68874476279944e-07
"Kcnip1",-0.103933964068479,0.0754672899108368,1.31705689072429,0.409935366864825,6.69025372250368,26.0081460755985,1.67216368666426e-09,5.21148692216347e-07
"Lcp2",-0.0229468244655714,-0.47189079418527,-1.10586586748411,-0.451402193358921,5.13493114858963,13.8946587505256,1.36401974012735e-06,0.000133115926456974
"Sqstm1",0.0366115875400979,0.55413008148073,1.02705378114035,0.520325756141478,8.8878314008081,20.6468509646636,2.29603160520693e-08,4.92957985637928e-06
"Rnf112",-0.179917179833246,-0.496258330645022,-1.28658802169536,-0.13852694617967,4.45190140669641,7.52223021466878,0.000236718320866304,0.00895128789451976
"Per1",1.14464384606663,1.45175464225034,-0.004878249606474,-0.0964601334809037,6.9789078113878,23.2562472081836,6.0714954667462e-09,1.60439677990922e-06
"Dusp14",0.356548532042016,1.52585004845507,0.230536629906771,-0.0718565268331917,4.75071898743508,16.3801332708248,2.67359958870636e-07,3.8268122113017e-05
"Hdac5",0.323780868133843,1.03497112638511,0.698178995281297,0.364113292132871,6.28620543363608,11.6710697775835,6.86666818359384e-06,0.000508370227247447
"Pycr1",0.0658606554734127,0.935221921933128,1.18963134020534,2.03071415496652,3.5329828651908,14.2858749302423,1.05088377913633e-06,0.00010744035589551
"Kcnf1",0.315691339368037,1.09621035030689,0.72912319076476,-0.0849549239528844,3.36788933431466,6.57212029911643,0.000601391166556453,0.0185633889957993
"Pdia6",-0.0559766485720714,0.519973665656401,1.35829941660163,0.994385694411998,8.55289823055122,24.5932786713192,3.20150833050179e-09,9.51734545696708e-07
"Pik3cg",0.0892980250578226,-0.0716495257249807,-1.12216909264658,-0.988709683626702,3.61239668189903,10.2781386469597,2.07598200478856e-05,0.00127752230186399
"Ifrd1",0.510685018809752,1.39576592676733,0.790397732790694,0.0233897168764636,6.53972784472202,30.777770448402,2.24314303824856e-10,1.0571769006848e-07
"Dnajb9",0.187457883520856,1.17945836479333,1.51876200188099,0.615536552642005,8.29045702082581,31.8323354875027,1.48672022829373e-10,7.74435547423335e-08
"Coch",0.0891521104552007,0.00259775907468813,-0.387538926152344,-1.34054564241965,4.04377165692858,12.7676447975709,3.03460038539154e-06,0.000255831807646679
"Smoc1",0.163440866663871,0.382977139589343,1.64938690234599,0.567195538601083,5.75354004879768,28.4596131660061,5.76631158180002e-10,2.02586252172949e-07
"Fos",3.08133767483413,1.60556426858797,0.0334085968064117,-0.802154389327186,5.73590963316451,27.8678352255648,7.41341069497558e-10,2.55802383676809e-07
"Sel1l",-0.0951174210129473,0.565808870487013,1.31849852669067,0.494684138746314,8.2179099295624,46.2238907072047,1.30788796655741e-12,2.29748356161717e-09
"Serpina3n",0.652085011891072,0.0327262867143751,1.242453973849,1.91582500668968,2.80406362864016,10.2596802206761,2.12261114600185e-05,0.00130207032299028
"Sp8",0.0729958971877629,0.879404671315144,1.14903401513578,-0.363633904517414,6.41482831203879,33.8495708283057,6.97396834767577e-11,4.21118719944184e-08
"Zfp184",0.441686167999232,1.14103430436661,0.0822777966987441,-0.12745504992524,3.36817571332408,6.67907480758045,0.00054009947170846,0.017014262633667
"Scgn",-0.110253766915914,-0.179088420660955,-0.360658560838446,-1.28085447953001,5.79617452320401,7.39589243496509,0.000267019520477497,0.00984659960722647
"Nedd9",0.69383340332916,1.3263013142134,0.198527181839372,-0.0828845384257823,5.84431501132946,28.4825696412918,5.71062939109699e-10,2.02586252172949e-07
"Iars",-0.0354214309243155,0.763717869267311,1.31521302630315,0.319588746750271,7.3075328882644,28.5550446203018,5.53805867421704e-10,2.01909259928105e-07
"Diras2",1.24298187368566,1.52198506271455,0.17719079651334,-0.303094667766808,4.35455099401174,15.1431654810175,5.89473956352426e-07,7.1190032866237e-05
"Nfil3",1.33199856699295,2.1436044850173,1.36498594494419,-0.46667694569496,4.70122119866096,36.6387972546292,2.59769096214942e-11,2.09146593590055e-08
"Homer1",0.374721632441104,1.3424207706187,-0.0270256325817893,-0.196064936375426,5.6906926466347,35.9160052951787,3.33101651157715e-11,2.37958783026078e-08
"D830030K20Rik",-0.00482633688834347,2.24217351943745,1.95218162380249,0.169637039885858,1.34446473275951,5.49302884061395,0.00180626417205373,0.0434063289705068
"Gm3636",0.0240988448410607,0.66141454769055,1.52582622046295,-0.0178813827801346,2.73550619268574,9.99344644098081,2.64132017606615e-05,0.00153996837896276
"Gm3558",0.115845569410047,1.36386624345697,2.06559931063788,-0.165495506735233,1.74755024136219,6.75182225891022,0.000507892662984393,0.0163566832114124
"Kcnk16",0.403850730891242,-0.321709944262942,-0.256222222306211,1.0099088635551,2.57266396754878,6.24320651478986,0.000844401957844306,0.0239777431178003
"Wnt5a",1.05174145813325,1.44328536672499,2.75509754706316,0.793862796960348,4.02132752360962,14.8277347118189,7.26953659304808e-07,8.36126521353976e-05
"Pck2",-0.0829788315325701,0.670897168932044,1.0363641591898,0.437740025181008,6.26751288918829,14.5280206502449,8.85575824424052e-07,9.65038923125692e-05
"Egr3",2.75404596472848,2.01226274814926,0.523426130101505,-1.24734028929095,1.21704142888511,5.97036721953342,0.000994404122829985,0.0271013693447726
"Spry2",0.513890703319495,1.67345911741031,1.06773969303088,0.140583133430625,4.72059723481336,24.1572083458899,3.93771154623778e-09,1.11894706188166e-06
"Dnajc3",-0.123443815809322,0.455611303460737,1.16818185872268,0.561108386319435,8.1635026722604,28.692899656037,5.22776479672011e-10,1.94261729167351e-07
"Tars",0.0651145735801121,0.481286040137176,1.10223997406228,0.297762713662423,6.28810897554153,20.3335931022038,2.71551757791778e-08,5.58212193171333e-06
"Cdh6",-0.108014553026886,-0.32004607330976,-0.721707136479624,-1.10388373527521,6.0123814231214,7.47065308897635,0.000248553902067395,0.00928976218500634
"Trib1",0.885228510045571,1.07613711840057,0.311498452045915,0.00236105928634633,6.68293901331967,23.6846103694859,4.9318982676016e-09,1.36141528892665e-06
"Fam84b",0.114203501945703,1.57026675933957,1.31725990103896,0.491265951344687,4.90162208982904,23.0237877046797,6.81116054327955e-09,1.70924746984144e-06
"Arc",1.44879118061248,0.258176722403736,-0.137416328462047,-0.368691461521528,2.90324827174086,8.25114582342724,0.000120273492799273,0.00533037775541367
"Maff",1.11099872768846,0.993678212092081,0.987470058970412,0.0200113432817422,3.58574478377836,9.29271660166521,4.75443689358779e-05,0.00253085355633049
"Kdelr3",-0.195476376782332,0.415651324878987,1.56594292728472,1.44072398033837,3.26377866826778,15.0979444510825,6.12978608285807e-07,7.26661696190592e-05
"Atf4",0.72291842821305,1.67364769262714,1.42334657757166,0.49878214454722,8.01444453198978,33.5257973374646,7.85377724009488e-11,4.46348640030451e-08
"Celsr1",0.277531112702974,-0.249367086892141,-1.59285860236495,-0.317665793982657,5.1433548135193,14.5066647080083,8.98812210639147e-07,9.70265270736326e-05
"Creld2",0.0512944326968763,1.09693566167048,2.11486796932165,1.00970407767331,6.56803456228178,51.2649907291352,3.33713466672373e-13,9.21192188072894e-10
"Adm2",0.469277545764045,1.76849538665055,1.58430349933157,1.42969729846421,3.57158962785559,12.7897195956046,2.99638751732151e-06,0.000254988840846239
"Fkbp11",0.28513002686935,-0.323186612849441,1.77321441813271,2.20561516992951,3.05970100242767,30.6771711251241,2.39754330172847e-10,1.10304117188808e-07
"Nr4a1",2.13192345762743,2.84785780373916,0.243691522604033,-1.69956109052326,8.25305677542637,35.3584603564259,4.05075712454774e-11,2.6090926639212e-08
"Cebpd",1.45581616285788,0.581814012533409,-0.256281250187634,-0.099072029001789,2.49687060339107,6.68469919969039,0.000540638475240465,0.017014262633667
"Sdf2l1",-0.00077181087642134,0.922753124191567,1.70622554129542,1.24576238595633,6.58629844695257,36.1437738527506,3.07626433841357e-11,2.28625599273713e-08
"Etv5",0.282333024210188,0.677282387019093,1.63109203874092,0.367457226242823,4.55731375980414,15.1142489673898,6.00527730721098e-07,7.16296132143443e-05
"Dnajb11",-0.0711077724225103,0.511239270545043,1.14967564029731,0.529168146513222,7.48219798597976,32.3020124092098,1.24227799403646e-10,6.66792713299069e-08
"Nfkbiz",0.288784005449511,1.56771247885753,0.815848091918531,0.195486266188999,4.47394015382679,7.88157471779519,0.000168621421969684,0.00696211909555601
"Phf10",-0.0228716879543002,0.589718637349879,1.25191555970034,0.436410501882114,6.09927526955628,29.3610598067392,3.96699607867073e-10,1.56437275975826e-07
"LOC106740",0.0516093676341327,1.02404835852572,1.48311865624652,0.205187096905444,3.56650375103356,13.831961827185,1.42968900609441e-06,0.000137442192362001
"Tnfrsf12a",0.277173289263992,1.19038307170535,1.21614239175616,0.151902270647378,3.8217448883212,7.20793902720493,0.000320412014536562,0.0112569479216182
"Dusp1",1.68264560359263,0.589036590550741,0.0501033150363799,-0.553900252695343,5.83087452205499,29.9318963849856,3.1453105865539e-10,1.33211175026189e-07
"Sik1",1.26165986369994,1.09631757803633,0.256122523182325,-0.481176542244194,6.87731513262159,13.6979973876948,1.5629552243982e-06,0.000147321872200226
"Hspa1a",0.257298324827391,0.0393646583740022,1.33361579874459,-0.274449096893564,2.74922328242889,5.89869211092534,0.00120499064054653,0.0312614860919824
"Ier3",1.28018679671401,1.45762480138923,1.03988635495144,0.0705970486274438,3.15793567322662,10.6149999465537,1.58066596946747e-05,0.00102151199090368
"Egr1",2.23880709010682,0.955835628103135,-0.89998370133389,-1.28182311068919,7.76179275880089,36.2182723769488,2.9970360038709e-11,2.28625599273713e-08
"Hspa9",-0.0518203659336663,0.427592959114686,1.16782238734781,0.495298944506065,8.56642372066555,31.1948731641751,1.90362427048932e-10,9.43172609709364e-08
"Spry4",0.408486704633385,1.21263688501619,0.859758421824694,-0.433997329472359,4.33362603358029,9.53773172012256,3.84791349975272e-05,0.00210037380100909
"Pcyox1l",-0.595003564581537,-1.51779424678825,-0.672215438996107,0.203853118492812,3.3968247507843,10.7543678888577,1.41523361981058e-05,0.000943833574645175
"Nars",0.0967847234410981,0.688481078010641,1.3516690098504,0.36857906797907,7.26324449707261,38.9280913593813,1.20319875615528e-11,1.16247047825942e-08
"Npas4",2.53263405359441,2.27490103462363,1.41021685461534,0.0629240159373049,4.91698839034238,13.1967168171828,2.2272852823057e-06,0.000198331029999968
"Syvn1",0.0908505778145474,0.886041156912794,1.16088535768785,0.558669250588715,7.39894709625353,18.3123680626076,8.38092265741503e-08,1.42056639043185e-05
